Hotel Name,Rating,Rating Description,Reviews,Location,Nearest Landmark,Distance to Landmark,Price,Tax,Final Price,Room Type,Latitude,Longitude
The Orchid Hotel Mumbai Vile Parle,4.0,Very Good,5593,Near Mumbai Airport ,T1 - Chhatrapati Shivaji International Airport,930 m ,6499.0,780.0,7279.0,Standard,19.0902177,72.86281199999999
Trident Bandra Kurla,4.6,Excellent,4987,Bandra Kurla Complex ,T1 - Chhatrapati Shivaji International Airport,7.8 km ,8750.0,0.0,8750.0,Deluxe,19.0666028,72.86743179999999
ITC Grand Central - A Luxury Collection Hotel,4.5,Excellent,2445,South Mumbai ,Cooper hospital,620 m ,14000.0,0.0,14000.0,Deluxe,18.9983626,72.83877679999999
IRA By Orchid Mumbai ( VITS Mumbai),3.9,Very Good,4707,Near Mumbai Airport ,T2 - Chhatrapati Shivaji International Airport,2.3 km ,5099.0,612.0,5711.0,Basic,19.1117694,72.8711694
Trident Nariman Point,4.6,Excellent,5563,Marine Drive ,Queen's Necklace - Marine Drive,470 m ,11250.0,0.0,11250.0,Deluxe,18.9277306,72.8211985
The Lalit Mumbai,4.1,Very Good,6468,Near Mumbai Airport ,T2 - Chhatrapati Shivaji International Airport,1.3 km ,11160.0,0.0,11160.0,Standard,19.1053238,72.8758792
"Ginger Mumbai, Andheri East",3.7,Very Good,5340,Andheri East ,T1 - Chhatrapati Shivaji International Airport,3.3 km ,3679.0,0.0,3679.0,Basic,19.1159308,72.8503952
"Taj Santacruz, Mumbai",4.6,Excellent,4563,Near Mumbai Airport ,T1 - Chhatrapati Shivaji International Airport,560 m ,9000.0,0.0,9000.0,Deluxe,19.0927936,72.8541295
Hotel Surya Prakash,3.9,Very Good,121,Chembur,,,3939.0,968.0,4907.0,Basic,19.060513,72.8991824
Hilton Mumbai International Airport,4.2,Very Good,1686,Near Mumbai Airport ,T2 - Chhatrapati Shivaji International Airport,1.6 km ,9100.0,0.0,9100.0,Standard,19.1044496,72.8707395
Holiday Inn Mumbai International Airport,4.3,Excellent,2744,Near Mumbai Airport ,T2 - Chhatrapati Shivaji International Airport,3.0 km ,6999.0,0.0,6999.0,Standard,19.102916,72.8871936
goSTOPS Mumbai - Rooms & Dorms,3.9,Very Good,1376,South Mumbai,,,816.0,211.0,1027.0,Basic,18.9747163,72.8139964
The Regale by Tunga,4.1,Very Good,4946,Andheri East ,T2 - Chhatrapati Shivaji International Airport,3.6 km ,4427.0,932.0,5359.0,Standard,19.1211262,72.8702649
"Taj Lands End, Mumbai",4.5,Excellent,4222,Bandra West ,Band Stand,230 m ,11000.0,0.0,11000.0,Deluxe,19.0439316,72.8192723
"Ramada Plaza By Wyndham Palm Grove, Juhu, Mumbai",4.1,Very Good,7206,Juhu ,T1 - Chhatrapati Shivaji International Airport,5.8 km ,7095.0,0.0,7095.0,Standard,19.0986109,72.8266968
Sahara Star,4.2,Very Good,7303,Near Mumbai Airport ,T1 - Chhatrapati Shivaji International Airport,760 m ,10400.0,0.0,10400.0,Standard,19.0902177,72.86281199999999
Qubestay Airport Capsule Hostel | Rooms & Dorms,3.8,Very Good,632,Andheri East ,T2 - Chhatrapati Shivaji International Airport,3.6 km ,1160.0,341.0,1501.0,Basic,19.1066425,72.8900345
